Draw Date,Winning Numbers,Mega Ball,Multiplier
06/03/08,04 19 24 32 54,5,
06/06/08,08 09 43 44 54,27,
06/10/08,03 05 15 43 51,11,
06/13/08,08 09 14 38 44,36,
06/17/08,05 14 25 47 49,36,
06/20/08,11 17 25 36 42,13,
06/24/08,10 22 36 50 53,39,
06/27/08,08 14 22 39 50,44,
07/01/08,01 22 33 43 52,36,
07/04/08,01 03 12 19 20,28,
07/08/08,01 20 22 29 41,35,
07/11/08,05 14 16 39 51,34,
07/15/08,19 24 34 45 51,40,
07/18/08,17 29 36 53 55,26,
07/22/08,02 16 23 29 32,46,
07/25/08,02 16 19 35 52,17,
07/29/08,11 13 20 30 42,3,
08/01/08,09 13 17 18 56,2,
08/05/08,09 21 36 38 55,13,
08/08/08,11 17 28 32 50,33,
08/12/08,02 07 23 38 40,40,
08/15/08,08 23 29 30 53,7,
08/19/08,09 18 19 26 40,38,
08/22/08,12 13 15 41 42,37,
08/26/08,06 16 24 34 36,30,
08/29/08,21 25 26 50 51,22,
09/02/08,14 23 43 44 54,39,
09/05/08,01 06 15 27 46,39,
09/09/08,22 23 28 49 52,2,
09/12/08,01 12 14 25 35,38,
09/16/08,13 24 39 51 52,44,
09/19/08,02 09 41 48 51,37,
09/23/08,09 32 34 43 52,4,
09/26/08,06 13 14 31 36,36,
09/30/08,09 30 35 39 49,36,
10/03/08,13 28 32 41 52,16,
10/07/08,02 25 35 38 42,34,
10/10/08,14 15 43 46 48,21,
10/14/08,14 35 41 42 51,23,
10/17/08,07 15 27 28 31,35,
10/21/08,16 19 39 42 44,38,
10/24/08,05 33 34 47 52,18,
10/28/08,06 39 45 46 48,36,
10/31/08,02 07 17 29 47,40,
11/04/08,10 21 23 41 55,9,
11/07/08,14 24 32 43 44,21,
11/11/08,05 27 38 42 55,41,
11/14/08,03 18 19 30 34,3,
11/18/08,10 15 22 52 53,12,
11/21/08,01 22 52 53 56,45,
11/25/08,02 11 22 51 52,46,
11/28/08,10 30 44 46 48,44,
12/02/08,02 17 22 32 51,35,
12/05/08,21 27 46 52 55,14,
12/09/08,11 12 26 31 33,27,
12/12/08,10 16 19 27 48,25,
12/16/08,10 14 16 29 40,6,
12/19/08,03 13 16 39 54,32,
12/23/08,01 08 13 27 41,45,
12/26/08,06 19 29 33 37,31,
12/30/08,01 22 29 44 52,39,
01/02/09,02 11 19 21 34,38,
01/06/09,03 11 12 19 33,30,
01/09/09,23 25 30 45 50,8,
01/13/09,22 25 33 36 48,40,
01/16/09,02 04 21 39 51,29,
01/20/09,01 09 10 35 46,9,
01/23/09,02 17 20 27 28,7,
01/27/09,03 11 12 14 21,25,
01/30/09,13 16 19 53 55,2,
02/03/09,04 15 29 43 56,29,
02/06/09,02 12 18 28 31,3,
02/10/09,18 29 38 43 47,7,
02/13/09,25 36 37 40 51,20,
02/17/09,01 09 23 27 33,24,
02/20/09,21 28 41 45 55,24,
02/24/09,01 27 28 35 40,6,
02/27/09,24 37 44 50 56,35,
03/03/09,26 32 35 43 52,10,
03/06/09,11 18 37 46 55,45,
03/10/09,02 27 31 39 40,23,
03/13/09,10 12 26 46 50,23,
03/17/09,09 15 24 28 31,17,
03/20/09,15 16 20 39 40,26,
03/24/09,04 25 34 43 44,45,
03/27/09,10 15 24 38 50,19,
03/31/09,14 39 47 48 53,29,
04/03/09,16 22 38 39 48,42,
04/07/09,02 04 13 17 36,15,
04/10/09,18 25 36 42 51,22,
04/14/09,04 11 22 48 50,42,
04/17/09,05 13 26 35 45,32,
04/21/09,05 24 37 47 52,6,
04/24/09,09 20 21 48 49,7,
04/28/09,15 20 24 36 44,6,
05/01/09,09 16 24 40 43,35,
05/05/09,05 23 38 39 54,3,
05/08/09,12 27 29 32 34,34,
05/12/09,04 08 10 14 51,31,
05/15/09,07 12 24 36 48,27,
05/19/09,02 04 09 15 42,13,
05/22/09,03 29 34 42 49,29,
05/26/09,09 18 21 37 55,33,
05/29/09,23 30 36 39 48,34,
06/02/09,09 13 26 30 35,33,
06/05/09,05 20 38 41 52,20,
06/09/09,05 17 31 36 56,46,
06/12/09,06 11 20 32 44,38,
06/16/09,09 15 21 26 45,25,
06/19/09,04 09 12 16 46,44,
06/23/09,12 14 16 31 50,9,
06/26/09,11 15 17 29 46,16,
06/30/09,07 34 49 54 55,34,
07/03/09,05 06 07 11 25,31,
07/07/09,25 27 35 38 39,28,
07/10/09,05 10 26 27 28,4,
07/14/09,20 29 35 45 53,41,
07/17/09,08 17 40 47 50,13,
07/21/09,03 08 21 50 52,2,
07/24/09,03 06 43 51 52,36,
07/28/09,04 17 24 25 48,34,
07/31/09,17 35 44 52 56,22,
08/04/09,01 28 34 42 50,27,
08/07/09,07 18 35 45 56,3,
08/11/09,06 12 15 32 42,40,
08/14/09,08 22 25 33 35,46,
08/18/09,04 05 26 37 56,25,
08/21/09,09 38 44 48 49,13,
08/25/09,03 12 19 22 40,2,
08/28/09,01 17 31 37 54,31,
09/01/09,02 09 28 51 53,19,
09/04/09,02 04 06 21 44,37,
09/08/09,04 10 18 28 50,35,
09/11/09,16 27 48 49 54,2,
09/15/09,29 30 32 35 41,39,
09/18/09,18 27 31 36 52,33,
09/22/09,26 29 33 39 46,24,
09/25/09,07 27 42 49 52,19,
09/29/09,02 21 25 45 50,21,
10/02/09,15 24 51 53 55,11,
10/06/09,09 33 51 53 56,39,
10/09/09,03 14 21 24 51,14,
10/13/09,17 31 34 45 51,24,
10/16/09,10 13 18 33 51,43,
10/20/09,13 17 25 45 55,8,
10/23/09,27 45 48 54 56,2,
10/27/09,07 13 37 46 51,2,
10/30/09,04 15 17 29 38,20,
11/03/09,05 18 23 31 38,20,
11/06/09,07 11 27 40 46,8,
11/10/09,08 21 29 34 37,15,
11/13/09,27 43 45 49 54,44,
11/17/09,08 22 27 49 50,28,
11/20/09,03 04 07 16 56,39,
11/24/09,10 11 35 37 50,12,
11/27/09,12 25 37 39 45,11,
12/01/09,17 30 39 52 53,21,
12/04/09,04 33 41 51 56,38,
12/08/09,20 23 28 30 46,29,
12/11/09,02 21 27 34 44,45,
12/15/09,27 31 32 36 47,35,
12/18/09,10 20 30 44 49,24,
12/22/09,03 33 35 39 45,13,
12/29/09,02 05 29 35 51,3,
01/01/10,06 08 27 40 41,21,
01/05/10,13 28 39 50 55,10,
01/08/10,18 20 31 36 43,33,
01/12/10,05 09 31 37 56,16,
01/15/10,04 07 19 21 38,29,
01/19/10,04 05 34 38 41,18,
01/22/10,08 13 27 28 52,9,
01/26/10,07 08 38 39 48,22,
01/29/10,01 10 22 23 38,19,
02/02/10,06 07 26 27 49,9,
02/05/10,10 20 45 51 53,41,
02/09/10,02 17 20 26 48,12,
02/12/10,14 16 17 33 47,23,
02/16/10,11 12 21 29 45,5,
02/19/10,01 22 39 42 46,36,
02/23/10,04 16 36 40 53,18,
02/26/10,04 14 29 54 56,40,
03/02/10,09 12 47 48 56,25,
03/05/10,11 31 34 44 52,32,
03/09/10,14 16 18 19 29,16,
03/12/10,02 15 25 48 53,41,
03/16/10,03 22 48 52 56,13,
03/19/10,10 31 45 50 54,25,
03/23/10,03 25 28 29 40,13,
03/26/10,23 41 46 47 52,22,
03/30/10,01 11 24 38 44,41,
04/02/10,02 17 22 30 31,19,
04/06/10,16 43 44 52 56,26,
04/09/10,15 18 39 48 53,3,
04/13/10,03 12 27 39 47,32,
04/16/10,10 16 31 48 50,44,
04/20/10,05 08 10 34 42,25,
04/23/10,19 26 28 37 52,18,
04/27/10,23 37 41 50 55,6,
04/30/10,14 20 41 47 53,40,
05/04/10,09 21 31 36 43,8,
05/07/10,02 07 20 34 50,40,
05/11/10,26 33 43 46 54,9,
05/14/10,20 21 40 47 56,12,
05/18/10,11 13 19 37 40,26,
05/21/10,15 20 23 26 30,17,
05/25/10,05 14 17 19 24,25,
05/28/10,03 11 20 29 39,26,
06/01/10,12 27 44 45 51,30,
06/04/10,12 13 15 17 50,23,
06/08/10,12 18 28 48 54,6,
06/11/10,06 13 33 34 42,25,
06/15/10,04 12 13 21 27,46,
06/18/10,11 36 37 41 55,7,
06/22/10,12 17 21 23 30,24,
06/25/10,01 02 13 19 27,21,
06/29/10,03 04 15 27 37,35,
07/02/10,01 10 12 32 36,25,
07/06/10,08 18 45 47 50,36,
07/09/10,01 31 33 34 50,41,
07/13/10,07 11 14 15 34,14,
07/16/10,02 15 18 20 39,34,
07/20/10,12 18 28 36 43,19,
07/23/10,16 19 39 44 49,26,
07/27/10,02 07 10 16 29,8,
07/30/10,11 30 40 48 52,42,
08/03/10,04 13 20 22 56,32,
08/06/10,07 13 30 33 54,30,
08/10/10,02 14 26 50 56,12,
08/13/10,06 17 24 43 55,36,
08/17/10,11 19 40 43 44,33,
08/20/10,04 13 20 29 48,36,
08/24/10,04 23 24 28 32,31,
08/27/10,04 10 26 32 41,31,
08/31/10,10 20 29 47 48,38,
09/03/10,10 13 20 28 36,9,
09/07/10,08 18 22 24 38,23,
09/10/10,11 12 17 21 23,20,
09/14/10,06 14 50 55 56,1,
09/17/10,03 04 14 18 27,13,
09/21/10,03 20 43 47 52,26,
09/24/10,02 28 38 42 55,25,
09/28/10,02 10 13 36 38,18,
10/01/10,03 08 21 28 52,43,
10/05/10,10 19 24 37 44,27,
10/08/10,24 29 37 48 50,19,
10/12/10,10 31 36 37 43,15,
10/15/10,09 10 13 31 50,10,
10/19/10,02 09 14 37 42,41,
10/22/10,02 07 18 32 53,18,
10/26/10,15 21 30 31 32,26,
10/29/10,04 19 26 28 39,14,
11/02/10,01 03 12 16 54,46,
11/05/10,19 25 34 46 53,15,
11/09/10,08 26 28 33 53,11,
11/12/10,09 26 28 35 38,10,
11/16/10,01 26 27 39 46,21,
11/19/10,07 14 31 51 54,35,
11/23/10,02 06 12 34 35,33,
11/26/10,05 09 34 43 47,8,
11/30/10,11 16 19 47 53,2,
12/03/10,06 11 12 18 56,12,
12/07/10,04 38 45 53 54,9,
12/10/10,23 27 33 44 46,36,
12/14/10,18 22 25 31 38,29,
12/17/10,11 20 26 46 53,12,
12/21/10,08 11 12 31 32,29,
12/24/10,15 16 27 40 52,16,
12/28/10,06 18 36 40 49,7,
12/31/10,10 12 13 35 56,9,
01/04/11,04 08 15 25 47,42,
01/07/11,04 22 42 46 53,20,
01/11/11,01 04 11 16 45,37,
01/14/11,02 15 17 33 35,8,
01/18/11,04 27 29 38 45,5,4
01/21/11,05 09 21 35 38,20,4
01/25/11,05 08 31 46 50,4,4
01/28/11,14 33 48 49 50,18,4
02/01/11,16 22 23 26 35,31,4
02/04/11,06 20 29 48 55,6,4
02/08/11,25 35 36 47 48,18,2
02/11/11,08 09 17 32 34,13,2
02/15/11,17 18 24 35 39,18,4
02/18/11,05 06 07 30 45,42,3
02/22/11,15 22 23 48 55,31,4
02/25/11,04 05 17 19 50,7,4
03/01/11,01 12 19 20 47,25,3
03/04/11,08 10 15 23 41,7,4
03/08/11,03 17 19 41 55,24,4
03/11/11,14 19 21 42 45,6,2
03/15/11,10 11 12 28 43,45,4
03/18/11,14 33 34 54 56,37,4
03/22/11,01 14 35 50 53,43,4
03/25/11,22 24 31 52 54,4,4
03/29/11,06 15 23 34 38,43,4
04/01/11,13 14 35 36 53,19,3
04/05/11,01 19 20 31 36,9,2
04/08/11,06 40 45 50 56,11,3
04/12/11,10 23 39 41 45,15,2
04/15/11,22 23 33 39 48,29,3
04/19/11,20 24 32 45 51,43,4
04/22/11,03 18 46 51 53,17,3
04/26/11,19 29 32 38 55,15,3
04/29/11,09 10 11 33 51,29,4
05/03/11,01 16 29 36 50,16,2
05/06/11,06 18 26 37 41,9,3
05/10/11,11 16 34 40 51,34,4
05/13/11,03 33 39 47 53,9,4
05/17/11,01 02 17 25 48,45,4
05/20/11,10 17 19 45 48,30,4
05/24/11,09 12 21 42 43,42,3
05/27/11,05 07 14 28 56,10,4
05/31/11,28 30 31 37 55,13,3
06/03/11,20 23 41 49 53,31,3
06/07/11,29 32 35 47 52,13,4
06/10/11,18 21 27 37 38,7,3
06/14/11,09 10 20 51 53,24,4
06/17/11,12 29 46 47 51,24,4
06/21/11,11 24 25 31 46,17,3
06/24/11,10 14 40 49 51,4,3
06/28/11,12 17 27 47 48,33,4
07/01/11,12 17 30 35 47,26,4
07/05/11,01 10 13 18 46,19,2
07/08/11,01 02 22 37 50,45,3
07/12/11,03 09 11 44 49,9,4
07/15/11,16 29 30 46 56,6,3
07/19/11,02 09 10 16 35,40,4
07/22/11,23 31 32 39 56,38,4
07/26/11,20 25 35 52 55,10,3
07/29/11,08 10 22 47 48,35,4
08/02/11,14 17 19 20 32,28,4
08/05/11,06 24 28 33 42,19,3
08/09/11,11 19 39 45 54,15,4
08/12/11,09 43 51 54 55,13,4
08/16/11,04 38 41 42 43,44,4
08/19/11,05 15 53 54 56,22,2
08/23/11,11 21 44 48 49,23,3
08/26/11,02 03 27 30 47,36,3
08/30/11,02 22 25 28 50,18,4
09/02/11,25 44 48 49 55,20,3
09/06/11,01 36 38 42 49,19,4
09/09/11,07 12 19 23 31,45,4
09/13/11,22 31 43 48 56,45,4
09/16/11,06 23 41 45 56,24,4
09/20/11,06 29 38 50 51,39,4
09/23/11,27 31 32 40 52,36,4
09/27/11,02 20 28 36 45,37,4
09/30/11,03 19 21 44 45,29,4
10/04/11,03 26 40 45 52,11,3
10/07/11,05 15 19 23 38,19,4
10/11/11,25 34 38 44 56,27,4
10/14/11,13 35 42 45 54,26,4
10/18/11,24 25 45 47 53,42,2
10/21/11,06 21 35 37 38,17,3
10/25/11,13 33 40 44 46,8,4
10/28/11,13 31 49 52 56,41,4
11/01/11,27 31 39 40 46,36,3
11/04/11,26 30 32 33 44,1,4
11/08/11,05 31 45 47 54,4,4
11/11/11,02 16 22 29 50,27,4
11/15/11,03 06 24 30 33,21,4
11/18/11,04 13 33 39 55,3,4
11/22/11,04 16 23 33 48,38,2
11/25/11,22 28 42 49 54,43,3
11/29/11,17 29 43 48 52,36,4
12/02/11,24 30 48 51 56,45,4
12/06/11,07 21 29 35 49,39,4
12/09/11,04 12 29 49 51,44,4
12/13/11,05 06 22 26 41,6,4
12/16/11,02 04 26 36 39,27,3
12/20/11,20 24 27 45 51,31,4
12/23/11,03 05 08 18 29,14,4
12/27/11,23 32 33 39 43,8,3
12/30/11,04 24 45 46 52,1,4
01/03/12,02 03 15 22 36,23,2
01/06/12,09 17 28 34 48,46,2
01/10/12,04 10 16 38 48,34,3
01/13/12,10 27 28 37 51,19,3
01/17/12,03 15 31 36 53,27,2
01/20/12,01 09 28 38 47,8,2
01/24/12,10 22 24 36 49,33,4
01/27/12,03 05 30 36 48,23,4
01/31/12,09 17 18 28 43,9,3
02/03/12,07 19 21 49 53,35,4
02/07/12,17 23 30 37 45,4,4
02/10/12,03 04 18 29 50,20,4
02/14/12,03 05 10 26 27,27,2
02/17/12,16 25 28 32 40,3,3
02/21/12,09 30 39 42 47,37,3
02/24/12,01 16 18 25 27,3,4
02/28/12,06 15 29 39 51,36,3
03/02/12,16 29 48 52 54,5,2
03/06/12,20 24 31 33 36,44,4
03/09/12,09 10 27 36 42,11,4
03/13/12,02 08 30 36 48,31,3
03/16/12,28 29 43 51 53,7,3
03/20/12,01 04 06 11 14,30,4
03/23/12,06 17 19 20 21,20,4
03/27/12,09 19 34 44 51,24,3
03/30/12,02 04 23 38 46,23,3
04/03/12,11 35 38 41 52,40,4
04/06/12,02 19 20 24 33,39,4
04/10/12,02 06 12 31 48,25,4
04/13/12,09 14 17 36 42,33,4
04/17/12,01 16 24 32 48,2,4
04/20/12,14 23 26 33 35,40,3
04/24/12,03 09 15 37 38,39,4
04/27/12,02 05 45 46 47,37,4
05/01/12,24 27 31 45 52,38,4
05/04/12,04 11 21 42 53,38,4
05/08/12,02 06 08 18 51,19,3
05/11/12,03 15 29 35 54,8,4
05/15/12,10 11 12 14 24,6,4
05/18/12,03 11 22 34 49,1,4
05/22/12,10 14 35 43 52,16,2
05/25/12,09 15 21 40 54,11,4
05/29/12,02 14 29 53 55,31,3
06/01/12,02 27 38 46 52,45,3
06/05/12,37 39 42 53 55,22,3
06/08/12,04 09 34 40 48,25,3
06/12/12,02 09 17 34 50,45,4
06/15/12,08 12 18 30 40,4,3
06/19/12,11 21 27 30 53,11,2
06/22/12,10 16 19 32 36,13,3
06/26/12,03 16 23 35 36,20,4
06/29/12,28 34 39 45 53,34,4
07/03/12,03 04 24 36 52,45,4
07/06/12,20 23 28 35 39,21,3
07/10/12,03 11 19 23 36,21,4
07/13/12,06 07 13 24 46,34,2
07/17/12,01 13 21 49 55,17,4
07/20/12,02 44 48 50 52,3,3
07/24/12,05 09 38 46 51,5,4
07/27/12,02 03 04 08 43,26,3
07/31/12,05 18 21 29 41,37,3
08/03/12,02 10 13 38 46,2,3
08/07/12,30 32 33 42 48,7,4
08/10/12,10 18 36 38 44,8,4
08/14/12,15 23 34 39 55,32,4
08/17/12,08 20 24 35 56,24,3
08/21/12,05 13 20 23 33,30,2
08/24/12,25 34 45 46 49,34,2
08/28/12,04 09 40 45 50,39,4
08/31/12,31 40 41 47 48,45,3
09/04/12,16 32 39 41 53,16,3
09/07/12,15 32 38 42 46,31,4
09/11/12,05 11 20 33 36,11,3
09/14/12,16 17 21 40 51,20,4
09/18/12,05 09 22 36 49,36,3
09/21/12,03 13 14 46 55,34,4
09/25/12,07 08 23 50 51,26,3
09/28/12,06 08 14 43 56,28,4
10/02/12,10 11 20 42 55,9,4
10/05/12,08 09 16 32 39,15,3
10/09/12,06 15 16 22 37,3,4
10/12/12,06 10 24 26 42,15,4
10/16/12,13 37 40 46 52,29,4
10/19/12,14 34 36 48 53,42,3
10/23/12,01 17 42 46 55,1,2
10/26/12,04 15 24 36 40,44,2
10/30/12,05 12 18 29 56,38,4
11/02/12,04 18 22 38 44,24,3
11/06/12,03 05 13 32 35,6,3
11/09/12,18 22 33 35 40,11,4
11/13/12,06 12 31 46 56,34,2
11/16/12,05 24 26 29 53,36,4
11/20/12,09 13 22 38 52,44,4
11/23/12,08 37 44 47 48,27,4
11/27/12,05 12 26 42 49,24,4
11/30/12,11 22 24 28 31,46,3
12/04/12,03 19 24 32 43,44,4
12/07/12,07 43 44 51 56,4,3
12/11/12,39 44 51 52 54,13,4
12/14/12,11 28 33 41 43,41,4
12/18/12,01 06 07 18 29,16,3
12/21/12,03 18 32 41 56,19,3
12/25/12,02 03 18 34 48,36,4
12/28/12,10 13 32 40 41,32,4
01/01/13,04 11 21 25 44,29,4
01/04/13,01 02 23 25 55,39,4
01/08/13,03 20 21 38 42,19,4
01/11/13,24 29 30 34 56,1,4
01/15/13,01 06 12 19 41,14,4
01/18/13,08 18 25 42 49,14,3
01/22/13,07 11 16 39 54,13,3
01/25/13,11 12 17 31 48,1,4
01/29/13,08 12 27 46 47,6,3
02/01/13,01 30 32 40 41,17,3
02/05/13,02 05 10 26 44,46,4
02/08/13,06 15 20 39 50,5,4
02/12/13,09 22 32 38 55,44,3
02/15/13,11 35 41 42 44,42,4
02/19/13,01 15 19 30 56,28,3
02/22/13,09 13 24 38 49,30,3
02/26/13,06 07 13 15 43,7,4
03/01/13,17 30 38 43 51,20,4
03/05/13,06 20 39 41 46,42,3
03/08/13,04 11 25 34 35,44,4
03/12/13,09 12 19 20 30,39,4
03/15/13,04 08 17 22 32,8,2
03/19/13,03 06 14 21 37,35,3
03/22/13,14 27 34 37 41,38,4
03/26/13,20 33 46 49 51,46,4
03/29/13,25 31 36 46 53,21,4
04/02/13,07 10 14 40 47,34,4
04/05/13,08 15 23 36 41,5,3
04/09/13,17 30 41 48 54,13,4
04/12/13,01 10 13 19 21,28,3
04/16/13,02 05 15 18 39,42,2
04/19/13,06 08 12 22 43,28,4
04/23/13,09 21 22 32 50,10,3
04/26/13,17 42 49 54 55,31,4
04/30/13,21 30 34 39 49,43,3
05/03/13,02 20 34 42 54,39,2
05/07/13,01 06 13 20 51,31,4
05/10/13,01 19 20 39 49,28,4
05/14/13,06 10 12 28 32,38,4
05/17/13,11 15 35 43 49,41,4
05/21/13,02 15 17 48 55,11,4
05/24/13,04 05 16 18 53,28,4
05/28/13,04 12 25 32 54,36,4
05/31/13,02 20 26 44 46,26,3
06/04/13,10 11 12 20 55,19,3
06/07/13,01 10 37 48 55,21,4
06/11/13,15 40 45 50 53,28,4
06/14/13,02 05 31 33 34,20,4
06/18/13,06 17 34 40 48,30,2
06/21/13,03 14 17 40 50,3,3
06/25/13,03 05 28 33 51,16,2
06/28/13,08 15 35 46 52,38,4
07/02/13,36 42 51 52 53,40,4
07/05/13,02 23 41 47 54,42,4
07/09/13,03 21 43 45 48,14,2
07/12/13,04 05 25 27 51,10,3
07/16/13,10 14 21 40 53,20,2
07/19/13,16 20 24 39 42,46,3
07/23/13,25 32 35 50 51,46,3
07/26/13,04 22 23 27 38,42,4
07/30/13,25 27 36 42 44,39,3
08/02/13,08 21 23 25 39,4,2
08/06/13,01 11 16 51 55,41,3
08/09/13,11 20 30 34 38,12,3
08/13/13,02 31 32 37 41,40,4
08/16/13,07 13 26 36 46,37,4
08/20/13,13 28 35 38 41,33,3
08/23/13,01 09 17 20 53,14,4
08/27/13,04 07 30 36 38,38,4
08/30/13,06 19 24 43 44,33,2
09/03/13,04 13 14 28 41,28,3
09/06/13,02 16 17 22 41,31,4
09/10/13,02 12 18 54 56,1,3
09/13/13,09 22 28 48 54,8,4
09/17/13,06 15 27 31 39,25,2
09/20/13,01 15 20 21 47,34,2
09/24/13,04 11 32 39 40,33,3
09/27/13,09 23 27 49 51,38,2
10/01/13,07 10 30 37 53,1,3
10/04/13,04 16 24 25 44,5,3
10/08/13,06 15 19 23 40,5,3
10/11/13,03 27 37 45 48,46,4
10/15/13,04 23 30 43 50,11,4
10/22/13,02 03 19 52 71,14,5
10/25/13,06 16 45 54 60,15,2
10/29/13,20 33 50 53 54,7,3
11/01/13,32 35 49 62 67,1,5
11/05/13,02 11 42 64 74,2,5
11/08/13,41 42 51 57 65,7,2
11/12/13,20 30 32 42 71,15,5
11/15/13,25 44 49 54 63,8,4
11/19/13,14 15 29 49 63,2,3
11/22/13,17 23 35 36 44,8,3
11/26/13,27 44 59 74 75,3,5
11/29/13,09 41 43 47 57,5,4
12/03/13,07 12 41 44 59,3,3
12/06/13,11 29 44 63 64,3,3
12/10/13,05 12 22 41 65,13,2
12/13/13,19 24 26 27 70,12,2
12/17/13,08 14 17 20 39,7,4
12/20/13,03 04 31 49 57,6,2
12/24/13,23 34 53 58 73,2,3
12/27/13,04 15 35 48 49,11,5
12/31/13,08 12 34 52 58,8,3
01/03/14,22 24 25 40 70,5,5
01/07/14,13 34 56 62 64,6,5
01/10/14,08 28 36 37 57,8,3
01/14/14,04 23 26 62 69,13,3
01/17/14,01 10 26 31 51,11,4
01/21/14,08 23 33 45 52,4,4
01/24/14,22 45 46 47 65,10,5
01/28/14,07 16 28 53 60,2,3
01/31/14,03 09 13 47 52,8,4
02/04/14,25 44 49 60 73,9,3
02/07/14,11 21 23 35 64,10,3
02/11/14,43 64 67 71 73,4,2
02/14/14,20 28 35 71 72,7,3
02/18/14,23 29 31 37 70,14,5
02/21/14,23 29 32 45 46,15,5
02/25/14,12 18 25 35 66,15,5
02/28/14,03 31 50 58 59,6,4
03/04/14,10 29 31 35 45,10,2
03/07/14,11 13 51 57 69,1,4
03/11/14,09 14 56 57 69,10,4
03/14/14,07 20 40 54 69,12,3
03/18/14,11 19 24 33 51,7,3
03/21/14,02 23 30 35 53,10,5
03/25/14,19 26 51 57 73,15,3
03/28/14,02 03 09 50 73,12,3
04/01/14,10 23 68 74 75,9,5
04/04/14,01 10 15 41 54,9,2
04/08/14,35 36 41 60 71,3,3
04/11/14,03 42 44 47 57,8,5
04/15/14,04 39 46 47 70,13,3
04/18/14,18 25 38 45 63,9,2
04/22/14,02 18 19 49 50,1,3
04/25/14,03 11 18 20 66,9,2
04/29/14,07 43 59 61 66,3,3
05/02/14,01 18 26 35 40,13,5
05/06/14,18 20 27 48 51,5,3
05/09/14,10 28 39 51 59,14,2
05/13/14,37 46 48 70 74,1,2
05/16/14,13 14 16 50 56,11,5
05/20/14,10 40 63 64 69,7,2
